Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000220458.2,2.009,0.0,6.841,0.0,3.002,0.0,0.0,0.0,0.0,0.0,9.4
ENSMUST00020183318.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000205468.2,11.973,43.377,2.35,0.0,9.2,197.761,0.0,236.51,2.226,0.0,0.0
ENSMUST00000200039.5,129.347,76.472,251.747,172.099,179.899,62.416,111.541,125.59,85.916,23.132,98.852
ENSMUST00000135415.2,0.0,0.0,0.0,0.0,3.281,0.0,1.397,0.0,0.0,0.0,0.0
ENSMUST00000083861.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000005810.9,3740.518,1841.832,5478.11,3844.213,2361.634,1441.329,4709.216,2612.395,2432.396,692.0,1969.036
ENSMUST00000172770.2,0.0,0.0,0.0,0.0,2.701,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000110619.2,1258.375,3193.276,621.118,394.122,132.694,545.725,432.213,733.318,332.958,535.39,472.684
ENSMUST00020181720.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000090568.7,13.0,28.333,38.788,23.423,27.588,7.0,56.86,21.0,14.23,23.0,30.361
ENSMUST00000133628.2,2137.721,327.15,3978.344,3685.49,1533.118,1421.296,2920.542,1690.675,1398.259,133.585,1485.222
ENSMUST00000110530.9,0.0,0.0,86.256,86.213,0.0,25.027,0.0,0.0,0.0,0.0,0.0
ENSMUST00000153882.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000208870.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000145435.3,91.34,49.0,115.758,127.325,59.463,48.0,137.709,59.91,27.551,12.0,56.851
ENSMUST00000023781.9,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
ENSMUST00000236024.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000232267.2,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSMUST00000132975.2,0.0,0.0,0.0,0.0,5.859,0.0,0.0,0.0,1.981,0.0,0.0
ENSMUST00000174814.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000037220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.864,0.0,0.0,0.0
ENSMUST00000006952.9,87.0,11.0,56.0,0.0,189.0,0.0,81.0,0.0,207.0,41.0,480.0
ENSMUST00000200882.3,0.0,0.0,0.0,1.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000149976.2,4.907,0.0,5.413,11.572,12.458,0.0,0.0,0.0,0.0,4.848,0.0
ENSMUST00000149298.2,0.0,0.0,0.0,0.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000186191.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000132449.8,0.0,0.0,0.0,3.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000128434.2,35.22,6.323,102.971,61.418,49.297,23.851,42.894,50.909,47.29,6.594,44.021
